TITLE,LINK,DATE_SCRAPE,CITY,CEP,NEIGHBORHOOD,CONDO,TAX,AREA,ROOMS_NO,BATH_NO,PARKING_SPOTS,APARTMENT_DETAILS,PRICE,REGION
Cobertura a venda Sagrada Familia,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/cobertura-a-venda-sagrada-familia-1184058717,2023-08-06,Belo Horizonte,31140005,Graça,R$ 200,R$ 0,100m²,2,2,1,N/A,380000,zona_nordeste
"Cobertura à venda, 3 quartos, 1 suíte, 2 vagas, União - Belo Horizonte/MG",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/cobertura-a-venda-3-quartos-1-suite-2-vagas-uniao-belo-horizonte-mg-1183946920,2023-08-06,Belo Horizonte,31170470,União,R$ 0,R$ 0,114m²,3,1,2,"Área de serviço, Varanda",769352,zona_nordeste
"Cobertura à venda, 3 quartos, 1 vaga, Pirajá - Belo Horizonte/MG",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/cobertura-a-venda-3-quartos-1-vaga-piraja-belo-horizonte-mg-1183934666,2023-08-06,Belo Horizonte,31910380,Fernão Dias,R$ 250,R$ 1.246,101m²,3,2,1,"Área de serviço, Varanda",395000,zona_nordeste
Linda cobertura à venda 3 quartos 130m² no bairro da Graça em Belo Horizonte  Toda decorad,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/linda-cobertura-a-venda-3-quartos-130m-no-bairro-da-graca-em-belo-horizonte-toda-decorad-1183934274,2023-08-06,Belo Horizonte,31140020,Graça,R$ 787,R$ 299,130m²,3,1,3,N/A,1199000,zona_nordeste
Apartamento à venda no bairro Sagrada Família - Belo Horizonte/MG,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-a-venda-no-bairro-sagrada-familia-belo-horizonte-mg-1183914983,2023-08-06,Belo Horizonte,31160525,Palmares,R$ 550,R$ 109,90m²,3,3,1,Área de serviço,350000,zona_nordeste
Apartamento em  Rua Maura - União - Belo Horizonte/MG,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-em-rua-maura-uniao-belo-horizonte-mg-1183913592,2023-08-06,Belo Horizonte,31160282,União,R$ 500,R$ 2.600,81m²,3,2,2,Churrasqueira,697140,zona_nordeste
Venda Apartamento 3 quartos Graça Belo Horizonte,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/venda-apartamento-3-quartos-graca-belo-horizonte-1183906956,2023-08-06,Belo Horizonte,31140190,Graça,R$ 360,R$ 172,90m²,3,2,1,Varanda,405000,zona_nordeste
Venda Apartamento 3 quartos Palmares Belo Horizonte,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/venda-apartamento-3-quartos-palmares-belo-horizonte-1183880933,2023-08-06,Belo Horizonte,31160630,Palmares,R$ 638,R$ 179,70m²,3,2,2,N/A,399000,zona_nordeste
Linda Cobertura 3 quartos suite e 3 vagas Fernão Dias,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/linda-cobertura-3-quartos-suite-e-3-vagas-fernao-dias-1183879526,2023-08-06,Belo Horizonte,31910532,Fernão Dias,R$ 0,R$ 0,158m²,3,2,3,N/A,780000,zona_nordeste
"Cobertura Duplex à venda, 3 quartos, 1 suíte, 3 vagas, Fernão Dias - Belo Horizonte/MG",https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/cobertura-duplex-a-venda-3-quartos-1-suite-3-vagas-fernao-dias-belo-horizonte-mg-1183879122,2023-08-06,Belo Horizonte,31910190,São Paulo,R$ 350,R$ 1,170m²,3,3,3,Área de serviço,720000,zona_nordeste
Apartamento à venda no bairro Colégio Batista,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-a-venda-no-bairro-colegio-batista-1183448336,2023-08-06,Belo Horizonte,31110110,Colégio Batista,R$ 640,R$ 340,166m²,4,4,3,"Área de serviço, Varanda",1200000,zona_nordeste
Venda Apartamento 3 quartos Palmares Belo Horizonte,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/venda-apartamento-3-quartos-palmares-belo-horizonte-1183414917,2023-08-06,Belo Horizonte,31155700,Palmares,R$ 380,R$ 194,83m²,3,3,2,N/A,548000,zona_nordeste
BELO HORIZONTE - Apartamento Padrão - Fernão Dias,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/belo-horizonte-apartamento-padrao-fernao-dias-1183402794,2023-08-06,Belo Horizonte,31910410,Fernão Dias,R$ 249,R$ 165,100m²,3,3,2,"Área de serviço, Churrasqueira",700000,zona_nordeste
