,CONDO,TAX,AREA,ROOMS_NO,BATH_NO,PARKING_SPOTS,DETAIL_Academia,DETAIL_Ar condicionado,DETAIL_Armários na cozinha,DETAIL_Armários no quarto,DETAIL_Churrasqueira,DETAIL_Mobiliado,DETAIL_Piscina,DETAIL_Quarto de serviço,DETAIL_Varanda,DETAIL_Área de serviço,PRICE,REGION_pampulha,REGION_venda_nova,REGION_zona_centro_sul,REGION_zona_leste,REGION_zona_nordeste,REGION_zona_noroeste,REGION_zona_norte,REGION_zona_oeste
145,270,0,55,2,1,1,0,0,1,0,1,0,0,0,0,0,172000.0,False,False,False,False,False,False,False,False
146,250,0,78,3,1,1,0,0,1,0,0,0,0,0,0,0,250000.0,False,False,False,False,False,False,False,False
147,110,0,55,2,1,1,0,0,0,0,0,0,0,0,0,0,170000.0,False,False,False,False,False,False,False,False
148,0,0,57,2,1,1,1,0,0,0,1,0,1,0,0,1,352990.0,False,False,False,False,False,False,False,False
149,300,0,50,2,1,1,0,0,1,0,0,0,0,0,0,0,173000.0,False,False,False,False,False,False,False,False
150,0,0,43,2,1,1,1,0,0,0,1,0,1,0,1,1,294990.0,False,False,False,False,False,False,False,False
151,270,0,50,2,1,1,0,0,1,0,0,0,0,0,0,0,190000.0,False,False,False,False,False,False,False,False
152,0,0,110,2,2,1,0,0,0,0,0,0,0,0,0,0,580000.0,False,False,False,False,False,False,False,False
153,280,0,55,2,1,1,0,0,1,0,0,0,0,0,0,0,168000.0,False,False,False,False,False,False,False,False
154,265,0,52,2,1,1,0,0,1,0,1,0,0,0,0,0,168000.0,False,False,False,False,False,False,False,False
155,10,0,50,2,1,1,0,0,0,0,0,0,0,0,0,0,118000.0,False,False,False,False,False,False,False,False
156,100,0,50,2,1,1,0,0,0,0,0,0,0,0,0,0,140000.0,False,False,False,False,False,False,False,False
157,0,0,52,2,1,1,1,0,0,0,1,0,1,0,0,1,313990.0,False,False,False,False,False,False,False,False
158,0,0,164,3,2,3,0,0,0,0,0,0,0,0,0,0,859527.0,False,False,False,False,False,False,False,False
159,0,0,68,3,2,1,0,0,0,0,0,0,0,0,0,0,275000.0,False,False,False,False,False,False,False,False
160,180,1,139,3,1,1,0,0,0,0,0,0,0,0,0,0,450000.0,False,False,False,False,False,False,False,False
161,300,1,110,3,2,3,1,0,0,0,0,0,1,0,0,0,900000.0,False,False,False,False,False,False,False,False
162,0,1,78,2,1,1,0,0,0,0,0,0,0,0,0,1,290000.0,False,False,False,False,False,False,False,False
