,AREA,ROOMS_NO,BATH_NO,PARKING_SPOTS,DETAIL_Academia,DETAIL_Ar condicionado,DETAIL_Armários na cozinha,DETAIL_Armários no quarto,DETAIL_Churrasqueira,DETAIL_Mobiliado,DETAIL_Piscina,DETAIL_Varanda,DETAIL_Área de serviço,REGION_pampulha,REGION_venda_nova,REGION_zona_centro_sul,REGION_zona_leste,REGION_zona_nordeste,REGION_zona_noroeste,REGION_zona_norte,REGION_zona_oeste,UTILS,PRICE
140,152,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,587992.0
141,50,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,122000.0
142,78,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,250000.0
143,55,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,147000.0
144,55,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,250,178000.0
145,55,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,270,172000.0
146,78,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,250000.0
147,55,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,170000.0
148,57,2,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,352990.0
149,50,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,173000.0
150,43,2,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,294990.0
151,50,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,190000.0
152,110,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,580000.0
153,55,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,168000.0
154,52,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,265,168000.0
155,50,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,118000.0
156,50,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,140000.0
157,52,2,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,313990.0
158,164,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,859527.0
159,68,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275000.0
160,139,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,450000.0
161,110,3,2,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,301,900000.0
162,78,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,290000.0
163,48,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,180000.0
164,75,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,538,380000.0
165,96,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350000.0
166,83,3,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,550000.0
167,150,3,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,569900.0
168,63,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,245000.0
169,110,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,580000.0
170,110,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,960000.0
171,130,3,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,980000.0
